Request Time,Model Name,Input Length,Output Length
00:00:00.026,synth_model_02,93,233
00:00:00.149,synth_model_19,380,279
00:00:00.180,synth_model_19,767,24
00:00:00.341,synth_model_07,918,941
00:00:00.347,synth_model_20,992,309
00:00:00.349,synth_model_08,1050,339
00:00:00.364,synth_model_18,638,271
00:00:00.382,synth_model_40,1149,501
00:00:00.415,synth_model_05,1201,342
00:00:00.419,synth_model_33,972,283
00:00:00.545,synth_model_21,467,342
00:00:00.555,synth_model_26,1890,355
00:00:00.562,synth_model_24,10,164
00:00:00.562,synth_model_12,1576,201
00:00:00.606,synth_model_32,443,426
00:00:00.662,synth_model_29,1848,930
00:00:00.796,synth_model_39,13,495
00:00:00.845,synth_model_29,461,354
00:00:00.864,synth_model_25,968,307
00:00:00.876,synth_model_03,1380,49
00:00:00.957,synth_model_12,25,435
00:00:00.991,synth_model_30,10,550
00:00:01.098,synth_model_39,593,472
00:00:01.103,synth_model_05,12,126
00:00:01.196,synth_model_33,603,162
00:00:01.218,synth_model_39,1382,581
00:00:01.332,synth_model_39,2203,353
00:00:01.359,synth_model_00,619,503
00:00:01.422,synth_model_43,1358,394
00:00:01.491,synth_model_01,399,125
00:00:01.625,synth_model_38,53,560
00:00:01.628,synth_model_08,1004,90
00:00:01.641,synth_model_19,1334,51
00:00:01.703,synth_model_01,4,90
00:00:01.712,synth_model_40,1524,211
00:00:01.768,synth_model_22,1791,155
00:00:01.856,synth_model_35,56,68
00:00:01.857,synth_model_23,7,120
00:00:01.867,synth_model_37,1468,29
00:00:01.868,synth_model_22,2,277
00:00:01.906,synth_model_37,1193,558
00:00:01.956,synth_model_22,357,41
00:00:01.986,synth_model_32,8,432
00:00:02.045,synth_model_26,1735,371
00:00:02.088,synth_model_17,287,77
00:00:02.115,synth_model_05,8,126
00:00:02.125,synth_model_06,1571,16
00:00:02.127,synth_model_36,740,585
00:00:02.160,synth_model_07,1448,16
00:00:02.196,synth_model_25,15,157
00:00:02.254,synth_model_31,804,123
00:00:02.299,synth_model_20,11,219
00:00:02.300,synth_model_20,375,375
00:00:02.382,synth_model_14,95,264
00:00:02.518,synth_model_41,960,447
00:00:02.620,synth_model_42,460,232
00:00:02.724,synth_model_33,268,279
00:00:02.903,synth_model_24,1191,277
00:00:02.915,synth_model_34,500,124
00:00:02.944,synth_model_39,602,405
00:00:02.972,synth_model_39,651,144
00:00:03.141,synth_model_21,183,66
00:00:03.166,synth_model_41,28,316
00:00:03.191,synth_model_24,302,104
00:00:03.193,synth_model_09,1665,84
00:00:03.230,synth_model_34,147,39
00:00:03.236,synth_model_36,677,198
00:00:03.272,synth_model_16,822,94
00:00:03.283,synth_model_24,335,130
00:00:03.333,synth_model_18,6,58
00:00:03.345,synth_model_04,120,59
00:00:03.380,synth_model_33,346,259
00:00:03.399,synth_model_00,1301,130
