Request Time,Model Name,Input Length,Output Length
00:00:00.348,synth_model_28,7,202
00:00:00.418,synth_model_08,168,832
00:00:01.900,synth_model_18,18,446
00:00:02.095,synth_model_18,978,1016
00:00:02.253,synth_model_14,438,176
00:00:03.071,synth_model_01,619,1006
00:00:04.144,synth_model_17,1880,100
00:00:05.068,synth_model_04,706,56
00:00:05.752,synth_model_10,1241,312
00:00:06.799,synth_model_00,1275,282
00:00:07.195,synth_model_21,64,42
00:00:07.635,synth_model_03,10,620
00:00:10.074,synth_model_28,532,1252
00:00:11.348,synth_model_26,2270,630
00:00:11.574,synth_model_19,975,484
00:00:11.746,synth_model_23,8,34
00:00:12.009,synth_model_09,615,650
00:00:14.091,synth_model_28,7,532
00:00:14.094,synth_model_18,368,550
00:00:14.214,synth_model_08,2187,1546
00:00:14.920,synth_model_24,172,82
00:00:15.121,synth_model_08,199,56
00:00:15.525,synth_model_06,607,728
00:00:15.683,synth_model_06,1670,2482
00:00:16.322,synth_model_28,262,278
00:00:16.469,synth_model_28,1092,912
00:00:16.609,synth_model_24,6,380
00:00:16.934,synth_model_11,859,66
00:00:16.993,synth_model_03,857,808
00:00:16.995,synth_model_00,41,594
00:00:17.046,synth_model_16,26,532
00:00:17.187,synth_model_09,715,1254
00:00:17.193,synth_model_00,252,404
00:00:17.216,synth_model_00,429,216
00:00:17.927,synth_model_04,1221,312
00:00:17.993,synth_model_01,1301,260
00:00:18.215,synth_model_12,22,392
00:00:18.236,synth_model_10,1315,264
00:00:18.361,synth_model_18,231,470
00:00:18.363,synth_model_01,4,168
00:00:19.100,synth_model_11,1141,674
00:00:19.503,synth_model_28,193,426
00:00:19.716,synth_model_01,51,624
00:00:19.848,synth_model_29,183,1706
00:00:19.898,synth_model_17,1540,1192
00:00:20.125,synth_model_09,1977,580
00:00:20.582,synth_model_24,502,334
00:00:20.606,synth_model_07,5,250
00:00:20.872,synth_model_05,6,160
00:00:21.101,synth_model_09,6,698
00:00:21.294,synth_model_23,366,108
00:00:22.134,synth_model_15,665,320
00:00:22.246,synth_model_24,412,554
00:00:22.352,synth_model_03,1696,320
00:00:22.719,synth_model_00,302,684
00:00:23.418,synth_model_26,31,388
00:00:23.499,synth_model_25,316,1200
00:00:23.597,synth_model_03,728,1136
00:00:23.932,synth_model_29,2114,682
00:00:24.134,synth_model_29,1011,742
00:00:24.385,synth_model_08,1555,232
00:00:24.946,synth_model_10,1391,206
00:00:25.295,synth_model_22,1178,728
00:00:25.509,synth_model_07,12,406
00:00:25.561,synth_model_27,13,668
00:00:26.374,synth_model_25,980,1480
00:00:27.044,synth_model_21,189,700
00:00:27.103,synth_model_20,118,718
00:00:27.360,synth_model_26,1474,190
00:00:28.372,synth_model_07,812,570
00:00:28.491,synth_model_25,672,496
00:00:29.281,synth_model_02,639,414
00:00:29.765,synth_model_19,1262,30
00:00:29.998,synth_model_16,455,1088
00:00:30.018,synth_model_01,545,1076
00:00:30.439,synth_model_20,956,200
00:00:30.463,synth_model_11,186,250
