Request Time,Model Name,Input Length,Output Length
00:00:00.043,synth_model_26,924,328
00:00:00.070,synth_model_25,47,401
00:00:00.117,synth_model_31,21,277
00:00:00.171,synth_model_05,764,408
00:00:00.241,synth_model_25,130,108
00:00:00.247,synth_model_32,349,712
00:00:00.287,synth_model_35,810,88
00:00:00.310,synth_model_21,1416,255
00:00:00.323,synth_model_33,383,206
00:00:00.400,synth_model_28,397,328
00:00:00.410,synth_model_34,1566,215
00:00:00.494,synth_model_11,480,446
00:00:00.496,synth_model_34,1600,399
00:00:00.508,synth_model_12,26,170
00:00:00.594,synth_model_01,658,341
00:00:00.608,synth_model_36,1315,1009
00:00:00.654,synth_model_32,1099,235
00:00:00.706,synth_model_30,1091,392
00:00:00.762,synth_model_21,546,124
00:00:00.783,synth_model_24,1497,59
00:00:00.828,synth_model_32,864,286
00:00:00.847,synth_model_27,1154,305
00:00:00.925,synth_model_29,1133,540
00:00:00.953,synth_model_01,89,119
00:00:00.971,synth_model_00,263,18
00:00:00.984,synth_model_35,78,233
00:00:01.046,synth_model_23,1369,93
00:00:01.128,synth_model_24,51,163
00:00:01.137,synth_model_07,14,490
00:00:01.205,synth_model_36,8,117
00:00:01.255,synth_model_34,957,232
00:00:01.268,synth_model_13,165,223
00:00:01.287,synth_model_37,6,793
00:00:01.344,synth_model_32,905,262
00:00:01.391,synth_model_04,15,220
00:00:01.471,synth_model_05,12,113
00:00:01.491,synth_model_14,700,208
00:00:01.526,synth_model_10,17,172
00:00:01.619,synth_model_29,31,376
00:00:01.630,synth_model_03,7,202
00:00:01.689,synth_model_01,10,297
00:00:01.699,synth_model_37,1477,304
00:00:01.713,synth_model_04,906,354
00:00:01.732,synth_model_25,72,132
00:00:01.745,synth_model_14,1182,232
00:00:01.747,synth_model_22,362,705
00:00:01.779,synth_model_07,771,203
00:00:01.808,synth_model_06,654,232
00:00:01.844,synth_model_31,47,231
00:00:01.922,synth_model_37,496,227
00:00:01.971,synth_model_08,504,456
00:00:02.014,synth_model_17,1406,494
00:00:02.016,synth_model_39,41,781
00:00:02.060,synth_model_14,992,309
00:00:02.134,synth_model_12,76,390
00:00:02.183,synth_model_12,986,319
00:00:02.214,synth_model_39,1985,83
00:00:02.230,synth_model_35,201,141
00:00:02.251,synth_model_02,1413,19
00:00:02.274,synth_model_29,2102,129
00:00:02.412,synth_model_31,238,69
00:00:02.415,synth_model_11,68,314
00:00:02.427,synth_model_00,562,181
00:00:02.456,synth_model_00,23,769
00:00:02.459,synth_model_00,435,32
00:00:02.482,synth_model_26,1045,16
00:00:02.567,synth_model_05,368,110
00:00:02.569,synth_model_13,364,633
00:00:02.576,synth_model_25,13,539
00:00:02.603,synth_model_14,11,219
00:00:02.672,synth_model_26,1634,103
00:00:02.680,synth_model_12,536,82
00:00:02.690,synth_model_12,1545,771
00:00:02.721,synth_model_06,265,224
00:00:02.724,synth_model_18,1162,62
00:00:02.737,synth_model_07,2270,315
00:00:02.747,synth_model_36,319,503
00:00:02.750,synth_model_08,11,312
00:00:02.843,synth_model_34,551,274
00:00:02.853,synth_model_30,153,111
00:00:02.957,synth_model_09,1692,535
00:00:02.966,synth_model_12,889,310
00:00:02.988,synth_model_36,498,199
00:00:03.003,synth_model_30,161,16
00:00:03.050,synth_model_24,218,105
00:00:03.084,synth_model_38,1479,725
00:00:03.092,synth_model_39,1216,380
00:00:03.103,synth_model_09,487,445
00:00:03.115,synth_model_01,343,297
00:00:03.138,synth_model_32,544,84
00:00:03.187,synth_model_07,31,194
00:00:03.238,synth_model_15,345,355
00:00:03.245,synth_model_00,1227,16
00:00:03.253,synth_model_01,1315,295
00:00:03.277,synth_model_34,668,295
00:00:03.279,synth_model_26,225,373
00:00:03.283,synth_model_17,16,575
00:00:03.303,synth_model_03,1370,283
00:00:03.345,synth_model_38,883,882
00:00:03.353,synth_model_05,441,211
00:00:03.362,synth_model_37,21,399
00:00:03.375,synth_model_02,496,492
00:00:03.393,synth_model_22,1549,389
00:00:03.451,synth_model_20,201,55
00:00:03.482,synth_model_20,1479,331
00:00:03.576,synth_model_30,10,209
00:00:03.711,synth_model_33,592,102
00:00:03.723,synth_model_31,415,378
00:00:03.980,synth_model_20,1185,183
00:00:03.990,synth_model_38,35,44
00:00:03.991,synth_model_37,894,793
00:00:04.009,synth_model_26,17,350
00:00:04.108,synth_model_07,1474,95
00:00:04.119,synth_model_33,461,60
00:00:04.141,synth_model_29,380,16
00:00:04.207,synth_model_22,1657,228
00:00:04.225,synth_model_37,64,252
00:00:04.236,synth_model_16,2456,329
00:00:04.237,synth_model_07,60,35
00:00:04.281,synth_model_18,750,283
00:00:04.310,synth_model_05,861,217
00:00:04.312,synth_model_17,1892,311
00:00:04.316,synth_model_25,33,305
00:00:04.341,synth_model_07,994,250
00:00:04.357,synth_model_13,360,202
00:00:04.363,synth_model_33,900,784
00:00:04.373,synth_model_35,1584,43
00:00:04.386,synth_model_34,1551,232
00:00:04.392,synth_model_27,7,260
00:00:04.412,synth_model_29,1542,248
00:00:04.416,synth_model_35,703,50
00:00:04.458,synth_model_12,365,327
00:00:04.564,synth_model_33,219,23
00:00:04.568,synth_model_25,1530,200
00:00:04.587,synth_model_03,93,309
00:00:04.617,synth_model_32,1760,219
00:00:04.625,synth_model_05,1048,16
00:00:04.638,synth_model_11,42,429
00:00:04.713,synth_model_17,1718,824
00:00:04.723,synth_model_39,1481,39
00:00:04.792,synth_model_21,923,594
00:00:04.794,synth_model_24,795,360
00:00:04.840,synth_model_18,2069,302
00:00:04.869,synth_model_39,25,92
00:00:04.873,synth_model_19,21,78
00:00:04.942,synth_model_01,38,30
00:00:04.987,synth_model_33,1043,771
00:00:04.998,synth_model_14,375,375
00:00:05.154,synth_model_34,311,771
00:00:05.208,synth_model_29,2849,620
00:00:05.262,synth_model_31,1628,258
00:00:05.311,synth_model_27,58,76
00:00:05.337,synth_model_05,546,47
00:00:05.393,synth_model_09,1455,134
00:00:05.438,synth_model_06,2161,824
00:00:05.509,synth_model_11,1532,703
00:00:05.574,synth_model_00,2000,270
00:00:05.598,synth_model_28,1758,89
00:00:05.701,synth_model_28,1460,219
00:00:05.743,synth_model_36,14,302
00:00:05.763,synth_model_19,375,330
00:00:05.798,synth_model_26,8,354
00:00:05.817,synth_model_22,590,256
00:00:05.842,synth_model_34,1469,125
00:00:05.862,synth_model_13,24,774
00:00:05.869,synth_model_31,1469,238
00:00:05.926,synth_model_25,752,300
00:00:05.960,synth_model_12,1748,124
00:00:05.989,synth_model_20,1268,496
00:00:05.993,synth_model_12,44,378
00:00:06.002,synth_model_35,1336,129
00:00:06.004,synth_model_25,509,361
00:00:06.056,synth_model_15,1115,279
00:00:06.144,synth_model_31,907,240
00:00:06.145,synth_model_13,466,149
00:00:06.152,synth_model_08,709,27
00:00:06.191,synth_model_20,1138,360
00:00:06.239,synth_model_10,265,144
00:00:06.252,synth_model_38,1054,296
00:00:06.282,synth_model_26,284,254
00:00:06.289,synth_model_31,487,189
00:00:06.305,synth_model_29,1609,259
00:00:06.310,synth_model_38,75,327
00:00:06.318,synth_model_02,1451,195
00:00:06.329,synth_model_11,5,299
00:00:06.379,synth_model_03,1253,776
00:00:06.386,synth_model_17,23,26
00:00:06.389,synth_model_16,6,254
00:00:06.416,synth_model_25,1341,78
00:00:06.523,synth_model_28,28,612
00:00:06.536,synth_model_00,701,334
00:00:06.582,synth_model_28,1032,30
00:00:06.590,synth_model_30,11,442
00:00:06.592,synth_model_17,24,253
00:00:06.657,synth_model_17,282,574
00:00:06.667,synth_model_34,558,261
00:00:06.732,synth_model_29,20,345
00:00:06.813,synth_model_24,333,401
00:00:06.822,synth_model_35,260,130
00:00:06.863,synth_model_24,36,275
00:00:06.876,synth_model_12,455,661
00:00:06.876,synth_model_20,8047,94
